epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.968,1.06193,0.89057,1.03717,0.92685,0.78719,0.84761,0.66718,0.75657,0.52267,0.9224,0.000369748,0.000369748,0.000369748
2,269.487,0.98106,0.7111,0.97915,0.91988,0.80607,0.86435,0.66853,0.76836,0.51838,0.91643,0.000715659,0.000715659,0.000715659
3,351.252,0.96709,0.6874,0.96787,0.9145,0.82932,0.88446,0.67514,0.75782,0.49724,0.90795,0.00103713,0.00103713,0.00103713
4,432.263,0.94962,0.65871,0.9569,0.90526,0.82894,0.88728,0.68628,0.71383,0.48441,0.90294,0.00100101,0.00100101,0.00100101
5,513.687,0.93146,0.63561,0.94991,0.9204,0.84189,0.89657,0.68229,0.7294,0.48664,0.90152,0.000964348,0.000964348,0.000964348
6,594.777,0.92043,0.62539,0.94679,0.93391,0.83493,0.89879,0.69303,0.72341,0.4588,0.9007,0.000927685,0.000927685,0.000927685
7,675.524,0.9035,0.60906,0.94002,0.92576,0.8381,0.89749,0.70493,0.69101,0.4586,0.89314,0.000891022,0.000891022,0.000891022
8,756.474,0.89152,0.5931,0.93396,0.93422,0.85715,0.91016,0.7141,0.68363,0.44017,0.88862,0.000854359,0.000854359,0.000854359
9,837.28,0.87517,0.57885,0.92908,0.94382,0.86437,0.91296,0.7131,0.67895,0.43326,0.88811,0.000817696,0.000817696,0.000817696
10,918.044,0.86934,0.57456,0.9264,0.9373,0.8662,0.91513,0.71921,0.67745,0.42939,0.88605,0.000781033,0.000781033,0.000781033
11,999.054,0.8531,0.56199,0.92201,0.94046,0.86867,0.91607,0.72726,0.67325,0.43084,0.88619,0.00074437,0.00074437,0.00074437
12,1080.16,0.85635,0.56011,0.92275,0.94271,0.87254,0.92145,0.72897,0.65431,0.41657,0.87917,0.000707707,0.000707707,0.000707707
13,1161.28,0.84007,0.54494,0.91647,0.94611,0.87647,0.91725,0.72272,0.65857,0.42308,0.88,0.000671044,0.000671044,0.000671044
14,1242.79,0.83527,0.53907,0.9147,0.94278,0.88003,0.92308,0.7396,0.63441,0.40722,0.8724,0.000634381,0.000634381,0.000634381
15,1323.88,0.81977,0.52981,0.90963,0.94783,0.88127,0.92609,0.73904,0.63785,0.40416,0.87101,0.000597718,0.000597718,0.000597718
16,1405.03,0.81576,0.52764,0.90994,0.94939,0.88513,0.92566,0.75079,0.62175,0.39725,0.86967,0.000561055,0.000561055,0.000561055
17,1486.05,0.81015,0.51922,0.90741,0.94407,0.8889,0.92801,0.74707,0.62272,0.39398,0.87205,0.000524392,0.000524392,0.000524392
18,1567.64,0.80976,0.51814,0.90702,0.94938,0.88838,0.92744,0.74534,0.62812,0.3966,0.87004,0.000487729,0.000487729,0.000487729
19,1649.12,0.79168,0.5078,0.90096,0.95667,0.88863,0.92881,0.75475,0.61411,0.38861,0.86845,0.000451066,0.000451066,0.000451066
20,1730.56,0.79168,0.50424,0.89969,0.9542,0.88861,0.93067,0.75906,0.60627,0.38717,0.8653,0.000414403,0.000414403,0.000414403
21,1812.94,0.78806,0.49598,0.90614,0.95629,0.88639,0.93069,0.75456,0.60725,0.38009,0.86581,0.00037774,0.00037774,0.00037774
22,1892.84,0.77422,0.48293,0.90168,0.958,0.89433,0.93049,0.75926,0.6061,0.38086,0.86533,0.000341077,0.000341077,0.000341077
23,1972.6,0.76173,0.47191,0.89845,0.95818,0.89483,0.93289,0.76487,0.59946,0.37608,0.86215,0.000304414,0.000304414,0.000304414
24,2052.86,0.75496,0.46666,0.8961,0.95594,0.89554,0.93358,0.76599,0.59108,0.37356,0.86003,0.000267751,0.000267751,0.000267751
25,2133.14,0.74341,0.45854,0.89218,0.96018,0.89517,0.93329,0.76941,0.57696,0.36608,0.85894,0.000231088,0.000231088,0.000231088
26,2213.81,0.73803,0.45634,0.89137,0.95714,0.89968,0.93426,0.76719,0.57912,0.36682,0.85848,0.000194425,0.000194425,0.000194425
27,2294.56,0.72753,0.44704,0.88818,0.95725,0.89842,0.93461,0.77495,0.57186,0.36178,0.85733,0.000157762,0.000157762,0.000157762
28,2375.11,0.71873,0.44136,0.88454,0.95818,0.9012,0.93634,0.77236,0.57467,0.35829,0.85694,0.000121099,0.000121099,0.000121099
29,2454.83,0.71516,0.43772,0.88435,0.96233,0.90229,0.93756,0.77598,0.56638,0.35699,0.85472,8.4436e-05,8.4436e-05,8.4436e-05
30,2535.25,0.70558,0.43198,0.87983,0.96125,0.90249,0.93712,0.77684,0.56715,0.35524,0.85497,4.7773e-05,4.7773e-05,4.7773e-05
