epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8467,0.64559,0.42861,0.85503,0.94369,0.84914,0.896,0.70245,0.62299,0.40145,0.8723,0.000138361,0.000138361,0.000138361
2,122.212,0.64375,0.42372,0.85189,0.95308,0.86089,0.90246,0.70645,0.63744,0.40491,0.87193,0.000277048,0.000277048,0.000277048
3,164.253,0.64589,0.42474,0.85016,0.94316,0.85707,0.8977,0.69268,0.65764,0.41532,0.8727,0.000414982,0.000414982,0.000414982
4,206.317,0.65454,0.42985,0.8511,0.93681,0.85628,0.89826,0.70121,0.64377,0.41563,0.87747,0.000551603,0.000551603,0.000551603
5,247.137,0.64764,0.42541,0.85001,0.94379,0.85829,0.89718,0.68554,0.67814,0.42966,0.87142,0.000686355,0.000686355,0.000686355
6,288.052,0.65229,0.42578,0.84972,0.94048,0.86401,0.90249,0.70668,0.63753,0.40294,0.8715,0.00081869,0.00081869,0.00081869
7,328.69,0.66043,0.42907,0.85089,0.94793,0.85724,0.90117,0.69948,0.63091,0.40238,0.87218,0.000948071,0.000948071,0.000948071
8,368.875,0.64372,0.4195,0.8472,0.93772,0.85648,0.89806,0.69288,0.65525,0.40357,0.87386,0.00107398,0.00107398,0.00107398
9,409.38,0.64826,0.42078,0.84798,0.94215,0.86149,0.90415,0.69504,0.63891,0.41256,0.8695,0.00106345,0.00106345,0.00106345
10,449.775,0.64002,0.41713,0.84578,0.95208,0.86992,0.9127,0.71405,0.60688,0.39839,0.86564,0.00105106,0.00105106,0.00105106
11,489.861,0.63198,0.41175,0.84548,0.94452,0.86575,0.90772,0.71845,0.6116,0.39192,0.86485,0.00103732,0.00103732,0.00103732
12,530.452,0.62754,0.40642,0.84392,0.95579,0.87137,0.9143,0.71957,0.61241,0.39466,0.86437,0.00102228,0.00102228,0.00102228
13,570.378,0.63175,0.41081,0.8442,0.93389,0.8569,0.90513,0.71346,0.63408,0.39865,0.87412,0.00100597,0.00100597,0.00100597
14,610.576,0.62564,0.40622,0.84305,0.94961,0.87413,0.91442,0.72408,0.59653,0.38752,0.86207,0.000988443,0.000988443,0.000988443
15,651.039,0.60972,0.39763,0.84031,0.95077,0.86479,0.91017,0.72807,0.59318,0.38258,0.86224,0.000969744,0.000969744,0.000969744
16,691.206,0.60068,0.38993,0.83858,0.9449,0.8694,0.91129,0.72002,0.59428,0.38707,0.86041,0.000949925,0.000949925,0.000949925
17,731.405,0.59536,0.38486,0.83564,0.95936,0.87355,0.91768,0.73513,0.57911,0.3759,0.85535,0.00092904,0.00092904,0.00092904
18,772.108,0.5915,0.38387,0.83552,0.95599,0.8743,0.91955,0.73353,0.57953,0.37056,0.85734,0.000907147,0.000907147,0.000907147
19,812.079,0.59165,0.38443,0.83515,0.95064,0.88151,0.91817,0.7335,0.58311,0.37009,0.85749,0.000884305,0.000884305,0.000884305
20,852.334,0.58578,0.38077,0.83429,0.96546,0.88678,0.92354,0.74165,0.56095,0.36402,0.8562,0.000860577,0.000860577,0.000860577
21,892.427,0.57667,0.37407,0.8327,0.95077,0.8776,0.91988,0.74047,0.55501,0.35669,0.85286,0.000836028,0.000836028,0.000836028
22,932.684,0.57904,0.37424,0.83198,0.95105,0.88974,0.9224,0.7371,0.56333,0.36479,0.85026,0.000810725,0.000810725,0.000810725
23,972.769,0.5658,0.367,0.83105,0.9629,0.89085,0.92457,0.75133,0.5524,0.35615,0.85144,0.000784738,0.000784738,0.000784738
24,1012.91,0.56286,0.36445,0.82953,0.95684,0.89135,0.92549,0.75169,0.55635,0.35076,0.84826,0.000758138,0.000758138,0.000758138
25,1053.32,0.56482,0.36464,0.83091,0.96776,0.89002,0.92883,0.76041,0.53936,0.34112,0.84583,0.000730997,0.000730997,0.000730997
26,1093.37,0.55944,0.36224,0.82897,0.96311,0.89047,0.92696,0.75923,0.52687,0.34367,0.84561,0.000703391,0.000703391,0.000703391
27,1133.3,0.55389,0.35957,0.82674,0.95731,0.88898,0.92587,0.75824,0.52231,0.34154,0.84371,0.000675395,0.000675395,0.000675395
28,1173.35,0.54471,0.35289,0.82734,0.965,0.89892,0.93191,0.76756,0.51241,0.33068,0.84261,0.000647085,0.000647085,0.000647085
29,1213.87,0.54366,0.35212,0.8262,0.96151,0.90219,0.93021,0.76377,0.50981,0.33256,0.84119,0.00061854,0.00061854,0.00061854
30,1254.03,0.53106,0.3449,0.82458,0.97403,0.89918,0.93231,0.7621,0.51553,0.33168,0.8432,0.000589837,0.000589837,0.000589837
31,1294.1,0.53546,0.34707,0.82566,0.96469,0.89131,0.92917,0.76833,0.51103,0.33272,0.84064,0.000561055,0.000561055,0.000561055
32,1334.4,0.53458,0.34532,0.82314,0.96414,0.89814,0.93181,0.77019,0.50347,0.32668,0.83873,0.000532273,0.000532273,0.000532273
33,1374.71,0.52461,0.33946,0.82122,0.95428,0.90117,0.93303,0.77265,0.49638,0.32094,0.83874,0.00050357,0.00050357,0.00050357
34,1415.08,0.5235,0.33926,0.82159,0.9619,0.90101,0.9328,0.76394,0.51211,0.32448,0.83873,0.000475025,0.000475025,0.000475025
35,1455.58,0.51435,0.33557,0.82004,0.96068,0.9089,0.93666,0.77596,0.49857,0.31704,0.83841,0.000446715,0.000446715,0.000446715
36,1495.65,0.51546,0.33496,0.8209,0.9689,0.90241,0.93561,0.77946,0.48808,0.31595,0.8352,0.000418719,0.000418719,0.000418719
37,1535.94,0.5079,0.33023,0.81941,0.96673,0.90116,0.9356,0.77764,0.4893,0.31399,0.83486,0.000391113,0.000391113,0.000391113
38,1576.06,0.50864,0.33134,0.82046,0.96339,0.90169,0.93529,0.77797,0.48167,0.31497,0.83419,0.000363972,0.000363972,0.000363972
39,1616.57,0.50104,0.32596,0.81742,0.96308,0.90762,0.93715,0.78439,0.47668,0.31055,0.83336,0.000337372,0.000337372,0.000337372
40,1656.6,0.49235,0.32227,0.81641,0.96974,0.90624,0.93851,0.78268,0.4764,0.30954,0.83211,0.000311385,0.000311385,0.000311385
41,1696.85,0.49693,0.32327,0.81689,0.9678,0.90537,0.93522,0.78241,0.48061,0.30799,0.83476,0.000286083,0.000286083,0.000286083
42,1737.22,0.49019,0.31852,0.81652,0.97003,0.9054,0.93821,0.78696,0.46366,0.30797,0.83173,0.000261533,0.000261533,0.000261533
