epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8168,0.62594,0.38973,0.86093,0.92576,0.84554,0.87871,0.68374,0.61789,0.3911,0.87676,0.000368962,0.000368962,0.000368962
2,94.4168,0.65167,0.40428,0.86327,0.92792,0.84407,0.87773,0.66313,0.6635,0.404,0.87733,0.000720998,0.000720998,0.000720998
3,139.148,0.66128,0.409,0.86341,0.91709,0.83821,0.87576,0.67336,0.62221,0.39259,0.87601,0.0010547,0.0010547,0.0010547
4,182.677,0.66658,0.40964,0.86402,0.91901,0.83312,0.87309,0.66537,0.66856,0.40986,0.88007,0.00102851,0.00102851,0.00102851
5,226.637,0.65635,0.40364,0.86131,0.92323,0.83605,0.87558,0.6671,0.68178,0.41185,0.88217,0.00100101,0.00100101,0.00100101
6,270.803,0.65258,0.40421,0.86178,0.91139,0.84532,0.87716,0.66806,0.66659,0.42952,0.88522,0.000973514,0.000973514,0.000973514
7,313.973,0.64243,0.39692,0.86052,0.92409,0.84969,0.88424,0.6789,0.63857,0.39976,0.86992,0.000946016,0.000946016,0.000946016
8,357.459,0.64171,0.39772,0.8591,0.93081,0.85303,0.88785,0.68631,0.6287,0.39505,0.87712,0.000918519,0.000918519,0.000918519
9,401.521,0.63733,0.39509,0.8579,0.92914,0.85874,0.88792,0.68715,0.62916,0.38902,0.87389,0.000891022,0.000891022,0.000891022
10,445.638,0.62952,0.38868,0.85406,0.91751,0.85799,0.88592,0.67896,0.61814,0.38329,0.87029,0.000863525,0.000863525,0.000863525
11,489.255,0.62231,0.38694,0.85266,0.9397,0.85575,0.89253,0.69876,0.60838,0.3765,0.87088,0.000836027,0.000836027,0.000836027
12,533.241,0.62073,0.3856,0.85365,0.92967,0.85903,0.89034,0.69692,0.61129,0.37497,0.87246,0.00080853,0.00080853,0.00080853
13,577.364,0.62147,0.38601,0.85285,0.92909,0.86975,0.89432,0.70839,0.57427,0.36639,0.86336,0.000781033,0.000781033,0.000781033
14,621.085,0.60945,0.37885,0.84999,0.94189,0.85922,0.89759,0.70662,0.59444,0.37918,0.86873,0.000753536,0.000753536,0.000753536
15,664.662,0.61335,0.38032,0.85127,0.93157,0.8678,0.89747,0.71029,0.57589,0.36027,0.86421,0.000726038,0.000726038,0.000726038
16,708.7,0.59358,0.36848,0.84618,0.93337,0.87432,0.90141,0.71605,0.56566,0.35616,0.86121,0.000698541,0.000698541,0.000698541
17,752.581,0.59062,0.3669,0.84532,0.93297,0.86855,0.89688,0.70603,0.58906,0.35682,0.86224,0.000671044,0.000671044,0.000671044
18,796.191,0.59445,0.36958,0.84686,0.93862,0.87026,0.89935,0.71144,0.57547,0.36254,0.86219,0.000643547,0.000643547,0.000643547
19,840.316,0.59278,0.36695,0.84561,0.94035,0.87247,0.89944,0.70716,0.59261,0.37054,0.86321,0.000616049,0.000616049,0.000616049
20,884.049,0.58331,0.3632,0.84306,0.93559,0.87403,0.90139,0.71342,0.58095,0.36357,0.86312,0.000588552,0.000588552,0.000588552
21,927.839,0.57826,0.3613,0.84352,0.94024,0.8787,0.90501,0.70849,0.58757,0.35516,0.85999,0.000561055,0.000561055,0.000561055
22,971.526,0.58486,0.36091,0.84387,0.94232,0.87852,0.90547,0.72314,0.55175,0.34766,0.85589,0.000533558,0.000533558,0.000533558
23,1015.71,0.56907,0.35326,0.84005,0.93901,0.87245,0.90239,0.7199,0.55435,0.35062,0.85579,0.00050606,0.00050606,0.00050606
24,1059.22,0.56663,0.35429,0.83917,0.94758,0.87728,0.91143,0.72073,0.56986,0.34437,0.85882,0.000478563,0.000478563,0.000478563
25,1103.01,0.56713,0.35776,0.84018,0.93538,0.88066,0.90461,0.71758,0.5666,0.35033,0.85325,0.000451066,0.000451066,0.000451066
26,1147.32,0.56903,0.35983,0.84014,0.94412,0.8835,0.90919,0.72924,0.55232,0.33924,0.85412,0.000423569,0.000423569,0.000423569
27,1190.93,0.56612,0.35928,0.83841,0.94134,0.88126,0.90716,0.72603,0.54556,0.34027,0.85221,0.000396071,0.000396071,0.000396071
28,1234.42,0.5583,0.35462,0.83799,0.94459,0.88354,0.90996,0.73466,0.54145,0.33813,0.85099,0.000368574,0.000368574,0.000368574
29,1278.7,0.55845,0.3543,0.83723,0.9498,0.87963,0.91068,0.73419,0.52307,0.33494,0.84883,0.000341077,0.000341077,0.000341077
30,1322.42,0.54804,0.34996,0.83517,0.9463,0.88443,0.91178,0.7348,0.53551,0.336,0.84908,0.00031358,0.00031358,0.00031358
31,1368.4,0.53031,0.34008,0.82795,0.9411,0.87849,0.90396,0.72776,0.54819,0.34264,0.85177,0.000286083,0.000286083,0.000286083
32,1411.82,0.51251,0.32879,0.82414,0.94909,0.88337,0.91015,0.73237,0.53139,0.33063,0.84946,0.000258585,0.000258585,0.000258585
33,1455.48,0.50165,0.32228,0.82348,0.94893,0.88207,0.9109,0.73688,0.52664,0.33172,0.84847,0.000231088,0.000231088,0.000231088
34,1498.51,0.49324,0.31864,0.82256,0.95541,0.8789,0.91378,0.73943,0.53269,0.33136,0.84849,0.000203591,0.000203591,0.000203591
35,1541.75,0.48311,0.31301,0.82102,0.95229,0.88762,0.91536,0.7391,0.51561,0.32544,0.84423,0.000176094,0.000176094,0.000176094
36,1585.1,0.48216,0.31208,0.82153,0.9526,0.88539,0.91409,0.74178,0.50764,0.32225,0.84163,0.000148596,0.000148596,0.000148596
37,1628.54,0.47487,0.30865,0.81886,0.96089,0.8828,0.9145,0.74467,0.50255,0.31818,0.84102,0.000121099,0.000121099,0.000121099
38,1671.87,0.47631,0.30845,0.8191,0.95475,0.88502,0.91475,0.74481,0.50857,0.32024,0.84142,9.36017e-05,9.36017e-05,9.36017e-05
39,1715.33,0.46804,0.30618,0.81926,0.9522,0.88881,0.9147,0.74703,0.50032,0.31989,0.8404,6.61045e-05,6.61045e-05,6.61045e-05
40,1758.79,0.4641,0.30242,0.81799,0.95341,0.88807,0.91631,0.74558,0.50682,0.32177,0.84087,3.86073e-05,3.86073e-05,3.86073e-05
