epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0096,2.26193,2.29129,1.7183,0.41204,0.3684,0.3741,0.22032,1.52372,1.24624,1.34535,0.000221588,0.000221588,0.000221588
2,88.7886,1.65071,1.30506,1.31422,0.63512,0.48721,0.53099,0.32528,1.39221,1.08769,1.25099,0.000443354,0.000443354,0.000443354
3,129.106,1.53944,1.17656,1.25427,0.72259,0.52803,0.60046,0.37855,1.33179,0.97415,1.21876,0.000663388,0.000663388,0.000663388
4,168.421,1.47373,1.09336,1.21596,0.75093,0.53401,0.63985,0.40496,1.28061,0.92808,1.18132,0.0008804,0.0008804,0.0008804
5,206.843,1.42694,1.04408,1.19258,0.77356,0.56841,0.67925,0.43282,1.23891,0.87428,1.15998,0.00109312,0.00109312,0.00109312
6,245.561,1.39264,0.99422,1.16904,0.77023,0.61215,0.70336,0.44923,1.2305,0.8399,1.15483,0.00108408,0.00108408,0.00108408
7,283.641,1.36833,0.96622,1.15126,0.80051,0.63807,0.73036,0.47541,1.21076,0.82035,1.13567,0.00107238,0.00107238,0.00107238
8,321.689,1.34608,0.93112,1.13867,0.83107,0.65776,0.74984,0.49024,1.18752,0.80504,1.12021,0.00105866,0.00105866,0.00105866
9,360.048,1.32269,0.91554,1.1251,0.82584,0.67103,0.76038,0.50389,1.17624,0.78215,1.11506,0.00104298,0.00104298,0.00104298
10,398.361,1.30949,0.90114,1.11908,0.83762,0.6781,0.76929,0.51227,1.1545,0.77655,1.09858,0.00102539,0.00102539,0.00102539
11,436.748,1.29498,0.88153,1.10772,0.84905,0.69536,0.78793,0.523,1.14556,0.76211,1.09389,0.00100597,0.00100597,0.00100597
12,475.372,1.27045,0.85942,1.10304,0.84685,0.6928,0.78709,0.5279,1.14441,0.74664,1.08991,0.000984795,0.000984795,0.000984795
13,514.633,1.26151,0.85496,1.09354,0.82736,0.71722,0.79477,0.53532,1.13512,0.72998,1.08391,0.000961948,0.000961948,0.000961948
14,553.188,1.25993,0.84459,1.08788,0.85438,0.7089,0.8115,0.55297,1.1154,0.72543,1.07418,0.000937518,0.000937518,0.000937518
15,591.836,1.24282,0.82811,1.08347,0.86297,0.70836,0.81193,0.55069,1.10866,0.71898,1.07317,0.000911603,0.000911603,0.000911603
16,630.005,1.23731,0.82347,1.08114,0.83218,0.74064,0.81794,0.55288,1.11204,0.71266,1.07336,0.000884305,0.000884305,0.000884305
17,668.391,1.22528,0.81052,1.07488,0.85715,0.74505,0.82944,0.56735,1.09868,0.70349,1.06224,0.00085573,0.00085573,0.00085573
18,706.632,1.21994,0.79844,1.06629,0.86063,0.74089,0.81956,0.56023,1.09255,0.69347,1.05822,0.000825993,0.000825993,0.000825993
19,745.177,1.21223,0.79416,1.06482,0.83957,0.74944,0.82867,0.57375,1.09212,0.69224,1.05761,0.00079521,0.00079521,0.00079521
20,783.993,1.2036,0.78836,1.0606,0.85877,0.75786,0.83604,0.58543,1.07738,0.6725,1.04999,0.000763503,0.000763503,0.000763503
21,821.923,1.19246,0.7732,1.05675,0.86194,0.74788,0.83362,0.58066,1.08158,0.6745,1.04884,0.000730997,0.000730997,0.000730997
22,860.221,1.18643,0.77057,1.05171,0.85026,0.76145,0.84176,0.58437,1.07573,0.66671,1.04592,0.000697821,0.000697821,0.000697821
23,898.581,1.17545,0.76251,1.04746,0.83688,0.7772,0.84295,0.58698,1.07283,0.66422,1.04309,0.000664104,0.000664104,0.000664104
24,937.148,1.16734,0.75014,1.04322,0.84799,0.7735,0.84657,0.59005,1.06982,0.65575,1.04164,0.000629981,0.000629981,0.000629981
25,975.251,1.1667,0.74439,1.03776,0.84727,0.78561,0.84446,0.59375,1.06125,0.65006,1.03498,0.000595586,0.000595586,0.000595586
26,1013.6,1.15927,0.73789,1.03501,0.84467,0.77975,0.84884,0.59014,1.05466,0.64577,1.03413,0.000561055,0.000561055,0.000561055
