epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.96942,1.03868,2.72284,1.29031,0.60915,0.86329,0.88805,0.62229,1.39369,1.28813,1.24554,0,0,0
2,6.04771,1.24796,2.96534,1.61745,0.59034,0.88355,0.88781,0.61517,1.39556,1.30735,1.24625,1.17822e-06,1.17822e-06,1.17822e-06
3,6.93188,1.30433,2.77357,1.56653,0.57087,0.87985,0.88815,0.60738,1.42886,1.32711,1.26304,2.33288e-06,2.33288e-06,2.33288e-06
4,7.85212,1.04436,2.67087,1.28539,0.54632,0.83333,0.87414,0.58619,1.4506,1.36365,1.26835,3.46397e-06,3.46397e-06,3.46397e-06
5,8.88019,1.12646,2.9813,1.51835,0.59451,0.83333,0.87394,0.58237,1.46585,1.41275,1.28312,4.5715e-06,4.5715e-06,4.5715e-06
6,9.95322,1.02681,2.21638,1.30317,0.82766,0.56667,0.87232,0.58122,1.48533,1.47733,1.29971,5.65548e-06,5.65548e-06,5.65548e-06
7,10.9855,1.50813,3.72292,1.82619,0.83402,0.58046,0.88544,0.57457,1.50337,1.56524,1.32054,6.71588e-06,6.71588e-06,6.71588e-06
8,12.0379,1.30375,3.21625,1.74427,0.80489,0.56667,0.85517,0.55284,1.51815,1.62563,1.33768,7.75273e-06,7.75273e-06,7.75273e-06
9,13.1891,1.48638,2.7579,1.59148,0.80391,0.57728,0.7433,0.56771,1.53533,1.68113,1.3529,8.76602e-06,8.76602e-06,8.76602e-06
10,14.3357,1.26265,2.49493,1.56183,0.7924,0.58333,0.74328,0.54271,1.53781,1.7204,1.34724,9.75574e-06,9.75574e-06,9.75574e-06
11,15.5743,1.20001,1.89443,1.50598,0.79433,0.58333,0.7432,0.55,1.52713,1.73421,1.34416,1.07219e-05,1.07219e-05,1.07219e-05
12,16.8616,1.3346,3.032,1.59877,0.77384,0.58333,0.74332,0.55002,1.53265,1.79642,1.34981,1.16645e-05,1.16645e-05,1.16645e-05
13,18.6155,1.15966,2.63487,1.47446,0.73856,0.58333,0.74308,0.54162,1.52052,1.82019,1.34765,1.25835e-05,1.25835e-05,1.25835e-05
14,21.1279,1.0793,2.3592,1.39504,0.73436,0.58333,0.74299,0.5474,1.52357,1.82701,1.34971,1.3479e-05,1.3479e-05,1.3479e-05
15,23.6195,1.20184,2.71052,1.5498,0.77123,0.41667,0.74418,0.54759,1.52343,1.84829,1.35374,1.43509e-05,1.43509e-05,1.43509e-05
16,26.113,1.03307,2.45274,1.34256,0.91074,0.3769,0.74433,0.52625,1.52946,1.87178,1.35688,1.51993e-05,1.51993e-05,1.51993e-05
17,28.5822,0.91529,2.93296,1.36622,0.90411,0.37945,0.57842,0.41939,1.53461,1.91701,1.36295,1.60241e-05,1.60241e-05,1.60241e-05
18,31.0726,0.92088,2.74317,1.30941,0.90411,0.37945,0.57842,0.41939,1.53461,1.91701,1.36295,1.68253e-05,1.68253e-05,1.68253e-05
19,34.9791,1.03958,2.28401,1.45666,0.90551,0.37191,0.5767,0.4022,1.57692,1.98883,1.39168,1.7603e-05,1.7603e-05,1.7603e-05
20,37.7943,1.09931,2.68114,1.43306,0.90551,0.37191,0.5767,0.4022,1.57692,1.98883,1.39168,1.83571e-05,1.83571e-05,1.83571e-05
21,40.2808,1.16924,2.42671,1.60105,0.90263,0.37196,0.5768,0.36945,1.61166,2.06368,1.41272,1.90876e-05,1.90876e-05,1.90876e-05
22,42.8083,1.08671,2.58319,1.49894,0.90263,0.37196,0.5768,0.36945,1.61166,2.06368,1.41272,1.97946e-05,1.97946e-05,1.97946e-05
23,45.3065,0.92101,1.92412,1.43013,0.89473,0.37205,0.57651,0.37296,1.67,2.14029,1.4604,2.0478e-05,2.0478e-05,2.0478e-05
24,47.8738,0.79222,1.76172,1.25121,0.89473,0.37205,0.57651,0.37296,1.67,2.14029,1.4604,2.11379e-05,2.11379e-05,2.11379e-05
25,50.4145,0.78882,1.64163,1.19367,0.89706,0.37165,0.48679,0.33629,1.71244,2.19654,1.48538,2.17741e-05,2.17741e-05,2.17741e-05
26,52.9559,1.11719,2.03935,1.35685,0.89706,0.37165,0.48679,0.33629,1.71244,2.19654,1.48538,2.23869e-05,2.23869e-05,2.23869e-05
27,55.4451,1.03753,1.56236,1.33395,0.90404,0.37161,0.45248,0.33788,1.72691,2.22673,1.5028,2.2976e-05,2.2976e-05,2.2976e-05
28,57.9351,1.14042,1.3937,1.4145,0.90404,0.37161,0.45248,0.33788,1.72691,2.22673,1.5028,2.35417e-05,2.35417e-05,2.35417e-05
29,60.433,1.15424,2.01984,1.52158,0.90557,0.37166,0.44396,0.31211,1.73085,2.26077,1.53324,2.40837e-05,2.40837e-05,2.40837e-05
30,62.9329,0.83397,1.7783,1.37188,0.90557,0.37166,0.44396,0.31211,1.73085,2.26077,1.53324,2.46022e-05,2.46022e-05,2.46022e-05
31,65.5112,0.9709,2.08369,1.37453,0.90256,0.37138,0.44436,0.31122,1.74302,2.25686,1.55938,2.50971e-05,2.50971e-05,2.50971e-05
32,68.1228,0.92359,1.78417,1.43625,0.90256,0.37138,0.44436,0.31122,1.74302,2.25686,1.55938,2.55685e-05,2.55685e-05,2.55685e-05
33,72.1928,0.88183,1.03232,1.30105,0.90624,0.37011,0.44483,0.30345,1.79599,2.25597,1.60867,2.60163e-05,2.60163e-05,2.60163e-05
34,78.1138,1.06235,1.51132,1.2979,0.90624,0.37011,0.44483,0.30345,1.79599,2.25597,1.60867,2.64405e-05,2.64405e-05,2.64405e-05
35,80.9643,0.73711,1.16093,1.10539,0.90899,0.37042,0.43624,0.29437,1.8181,2.27825,1.62867,2.68412e-05,2.68412e-05,2.68412e-05
36,82.7538,0.71606,1.66452,1.22317,0.90899,0.37042,0.43624,0.29437,1.8181,2.27825,1.62867,2.72183e-05,2.72183e-05,2.72183e-05
37,85.2773,0.95574,1.46474,1.42077,0.91113,0.37158,0.41235,0.28745,1.83889,2.30059,1.64784,2.75718e-05,2.75718e-05,2.75718e-05
38,87.9899,0.94251,1.28581,1.19049,0.91113,0.37158,0.41235,0.28745,1.83889,2.30059,1.64784,2.79018e-05,2.79018e-05,2.79018e-05
39,90.7162,0.57782,1.00825,0.96894,0.90956,0.37118,0.4136,0.29638,1.82994,2.34849,1.62664,2.82082e-05,2.82082e-05,2.82082e-05
40,92.6384,0.94029,1.52449,1.3722,0.90956,0.37118,0.4136,0.29638,1.82994,2.34849,1.62664,2.84911e-05,2.84911e-05,2.84911e-05
41,97.2986,0.75794,0.90435,1.10027,0.92045,0.37246,0.41303,0.29739,1.80874,2.35003,1.61378,2.87504e-05,2.87504e-05,2.87504e-05
