epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.81229,1.03868,2.72284,1.29031,0.60915,0.86329,0.88805,0.62229,1.39369,1.28813,1.24554,0,0,0
2,16.2206,1.24796,2.96534,1.61745,0.59034,0.88355,0.88781,0.61517,1.39556,1.30735,1.24625,1.18411e-06,1.18411e-06,1.18411e-06
3,17.9572,1.30433,2.77357,1.56653,0.57087,0.87985,0.88815,0.60738,1.42886,1.32711,1.26304,2.35644e-06,2.35644e-06,2.35644e-06
4,19.6021,1.04436,2.67087,1.28539,0.54869,0.83333,0.87415,0.58622,1.45487,1.36471,1.2697,3.51699e-06,3.51699e-06,3.51699e-06
5,20.746,1.12332,2.98036,1.51716,0.84666,0.57704,0.874,0.5824,1.48538,1.42436,1.29369,4.66575e-06,4.66575e-06,4.66575e-06
6,21.8497,1.02519,2.16191,1.29877,0.82861,0.56667,0.87225,0.58118,1.48493,1.48266,1.3003,5.80274e-06,5.80274e-06,5.80274e-06
7,23.9577,1.51214,3.65657,1.82241,0.83705,0.58012,0.88829,0.57596,1.50258,1.56022,1.31967,6.92794e-06,6.92794e-06,6.92794e-06
8,25.5343,1.31288,3.22945,1.75379,0.80449,0.56667,0.886,0.57223,1.51312,1.61952,1.33388,8.04137e-06,8.04137e-06,8.04137e-06
9,26.7297,1.4871,2.75764,1.59637,0.80567,0.58333,0.76122,0.5766,1.54588,1.68191,1.35672,9.14301e-06,9.14301e-06,9.14301e-06
10,28.1535,1.28134,2.49981,1.57269,0.76578,0.58333,0.7432,0.56729,1.55157,1.71672,1.35649,1.02329e-05,1.02329e-05,1.02329e-05
11,30.4033,1.20381,1.86134,1.51132,0.76945,0.58333,0.74296,0.56743,1.54743,1.74492,1.35347,1.1311e-05,1.1311e-05,1.1311e-05
12,33.2374,1.34558,3.02582,1.60795,0.7472,0.58333,0.74315,0.5663,1.54825,1.79851,1.35862,1.23772e-05,1.23772e-05,1.23772e-05
13,35.132,1.15499,2.60141,1.47273,0.71644,0.58333,0.74309,0.56635,1.54889,1.82214,1.36367,1.34318e-05,1.34318e-05,1.34318e-05
14,36.6816,1.0606,2.28874,1.38673,0.73118,0.58333,0.74317,0.56697,1.54962,1.82274,1.36479,1.44745e-05,1.44745e-05,1.44745e-05
15,38.7006,1.21479,2.6399,1.55546,0.76983,0.58333,0.74442,0.5425,1.54169,1.85222,1.36336,1.55055e-05,1.55055e-05,1.55055e-05
16,40.6415,1.05497,2.43274,1.34762,0.90218,0.38095,0.74435,0.54356,1.53962,1.87364,1.36511,1.65246e-05,1.65246e-05,1.65246e-05
17,44.0862,0.90604,2.86548,1.34823,0.90261,0.38731,0.57847,0.42126,1.54339,1.91305,1.36912,1.7532e-05,1.7532e-05,1.7532e-05
18,45.7368,0.96289,2.72589,1.3293,0.90261,0.38731,0.57847,0.42126,1.54339,1.91305,1.36912,1.85276e-05,1.85276e-05,1.85276e-05
19,48.3041,1.02003,2.19761,1.44171,0.90172,0.39121,0.66103,0.4843,1.58691,1.99223,1.39865,1.95115e-05,1.95115e-05,1.95115e-05
20,50.2337,1.10805,2.64453,1.43679,0.90172,0.39121,0.66103,0.4843,1.58691,1.99223,1.39865,2.04835e-05,2.04835e-05,2.04835e-05
21,52.5318,1.16783,2.32803,1.58316,0.90658,0.37185,0.52719,0.39013,1.61444,2.07925,1.42048,2.14438e-05,2.14438e-05,2.14438e-05
22,54.7169,1.06372,2.53232,1.46811,0.90658,0.37185,0.52719,0.39013,1.61444,2.07925,1.42048,2.23923e-05,2.23923e-05,2.23923e-05
23,57.0639,0.88855,1.88466,1.41525,0.89505,0.37148,0.51454,0.3839,1.65823,2.1772,1.4545,2.3329e-05,2.3329e-05,2.3329e-05
24,59.5928,0.7463,1.64051,1.22008,0.89505,0.37148,0.51454,0.3839,1.65823,2.1772,1.4545,2.42539e-05,2.42539e-05,2.42539e-05
25,63.0438,0.78656,1.64246,1.19797,0.90408,0.36831,0.50315,0.38072,1.68913,2.21074,1.47035,2.51671e-05,2.51671e-05,2.51671e-05
26,67.1203,1.0991,1.94898,1.34969,0.90408,0.36831,0.50315,0.38072,1.68913,2.21074,1.47035,2.60684e-05,2.60684e-05,2.60684e-05
27,68.7806,1.03141,1.49234,1.32719,0.91098,0.36877,0.50223,0.36407,1.7072,2.26719,1.49684,2.6958e-05,2.6958e-05,2.6958e-05
28,70.862,1.13444,1.30168,1.40614,0.91098,0.36877,0.50223,0.36407,1.7072,2.26719,1.49684,2.78358e-05,2.78358e-05,2.78358e-05
29,73.7679,1.13403,1.87364,1.49627,0.90946,0.37126,0.45196,0.32851,1.73215,2.28917,1.53851,2.87018e-05,2.87018e-05,2.87018e-05
30,75.9942,0.81122,1.68931,1.34896,0.90946,0.37126,0.45196,0.32851,1.73215,2.28917,1.53851,2.95561e-05,2.95561e-05,2.95561e-05
31,78.0086,0.97968,1.96815,1.3689,0.90715,0.36871,0.44995,0.31109,1.74271,2.2967,1.56696,3.03986e-05,3.03986e-05,3.03986e-05
32,79.5864,0.85904,1.68209,1.3776,0.90715,0.36871,0.44995,0.31109,1.74271,2.2967,1.56696,3.12292e-05,3.12292e-05,3.12292e-05
33,83.1899,0.88169,0.96403,1.29661,0.90753,0.36898,0.44226,0.30725,1.79193,2.36488,1.60292,3.20481e-05,3.20481e-05,3.20481e-05
34,85.2198,1.01481,1.44325,1.27807,0.90753,0.36898,0.44226,0.30725,1.79193,2.36488,1.60292,3.28552e-05,3.28552e-05,3.28552e-05
35,89.0264,0.74332,1.06912,1.10007,0.90866,0.37067,0.43659,0.28986,1.79958,2.37968,1.61444,3.36506e-05,3.36506e-05,3.36506e-05
36,90.6046,0.6896,1.46108,1.19887,0.90866,0.37067,0.43659,0.28986,1.79958,2.37968,1.61444,3.44341e-05,3.44341e-05,3.44341e-05
37,95.8453,0.95243,1.3713,1.40385,0.91232,0.37069,0.40978,0.29443,1.82271,2.43113,1.62582,3.52059e-05,3.52059e-05,3.52059e-05
38,100.393,0.92163,1.20793,1.18353,0.91232,0.37069,0.40978,0.29443,1.82271,2.43113,1.62582,3.59659e-05,3.59659e-05,3.59659e-05
39,103.471,0.56876,0.92441,0.96621,0.94024,0.3865,0.41555,0.29907,1.79721,2.4359,1.59821,3.67141e-05,3.67141e-05,3.67141e-05
40,106.578,0.87199,1.38655,1.33043,0.94024,0.3865,0.41555,0.29907,1.79721,2.4359,1.59821,3.74505e-05,3.74505e-05,3.74505e-05
41,109.617,0.73802,0.81319,1.09172,0.94312,0.38677,0.41561,0.29918,1.7933,2.43381,1.59189,3.81752e-05,3.81752e-05,3.81752e-05
42,112.362,0.94211,1.10401,1.23629,0.94312,0.38677,0.41561,0.29918,1.7933,2.43381,1.59189,3.88881e-05,3.88881e-05,3.88881e-05
43,115.354,0.70535,1.0781,1.22833,0.94604,0.38409,0.41608,0.30132,1.80033,2.44933,1.58781,3.95892e-05,3.95892e-05,3.95892e-05
44,121.046,1.0239,1.89614,1.38267,0.94604,0.38409,0.41608,0.30132,1.80033,2.44933,1.58781,4.02785e-05,4.02785e-05,4.02785e-05
45,126.191,0.76105,1.09408,1.25117,0.94913,0.38457,0.41748,0.31824,1.77757,2.46183,1.55569,4.0956e-05,4.0956e-05,4.0956e-05
46,131.353,0.95272,1.05118,1.28257,0.94913,0.38457,0.41748,0.31824,1.77757,2.46183,1.55569,4.16217e-05,4.16217e-05,4.16217e-05
47,138.03,1.09633,1.68074,1.39454,0.95475,0.38692,0.41839,0.31885,1.77158,2.41915,1.53047,4.22757e-05,4.22757e-05,4.22757e-05
48,143.479,0.80703,0.75329,1.24307,0.95475,0.38692,0.41839,0.31885,1.77158,2.41915,1.53047,4.29179e-05,4.29179e-05,4.29179e-05
49,148.894,0.56807,0.86237,1.09319,0.96015,0.3858,0.41904,0.3206,1.79153,2.44058,1.52642,4.35483e-05,4.35483e-05,4.35483e-05
