epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.22506,5.31068,4.97168,5.19081,5e-05,0.00123,2e-05,0,5.15936,1.42146e+07,192550,0.000148437,0.000148437,0.000148437
2,13.279,5.09521,4.62837,4.52423,3e-05,0.00123,2e-05,0,5.75176,32879.4,4095.2,0.000304571,0.000304571,0.000304571
3,20.4395,4.59345,4.30767,3.91561,0.0003,0.00578,0.00016,2e-05,5.17497,3509.54,935.22,0.000460234,0.000460234,0.000460234
4,26.0873,4.03675,3.94224,3.33238,0.2504,0.01601,0.00019,3e-05,4.17954,861.276,241.318,0.00061507,0.00061507,0.00061507
5,33.2453,3.69542,3.50332,2.7457,0.00077,0.05665,0.00044,0.0001,3.65303,1641.1,60.487,0.000768724,0.000768724,0.000768724
6,38.8687,3.39701,3.14558,2.49059,0.0076,0.02393,0.00391,0.00161,3.64393,1142.07,25.846,0.000920845,0.000920845,0.000920845
7,46.7572,3.0406,2.87972,2.31105,0.0011,0.00805,0.00056,0.00014,3.63222,848.218,13.9893,0.00107109,0.00107109,0.00107109
8,52.7615,2.8017,2.60147,2.13322,0.00016,0.00402,8e-05,2e-05,3.61043,2847.12,20.7554,0.0012191,0.0012191,0.0012191
9,59.1398,2.60078,2.42056,1.97137,0,0,0,0,3.71762,2892.98,31.514,0.00121972,0.00121972,0.00121972
10,65.9464,2.534,2.29575,1.86605,0.00025,0.00429,0.00012,3e-05,3.39977,214.829,11.9066,0.00121176,0.00121176,0.00121176
11,71.1305,2.37914,2.15045,1.75425,0.01216,0.28898,0.01581,0.00465,2.95921,6.19726,4.13336,0.0012029,0.0012029,0.0012029
12,78.1861,2.28721,2.05058,1.67432,0.11529,0.34127,0.11249,0.03626,2.75103,2.74102,2.40966,0.00119316,0.00119316,0.00119316
13,83.7705,2.27018,2.02862,1.62443,0.32925,0.33674,0.10054,0.03396,2.29363,2.73615,2.01914,0.00118256,0.00118256,0.00118256
14,90.5251,2.18366,1.93107,1.59638,0.45449,0.17762,0.22643,0.09014,2.17245,2.24857,1.69641,0.00117111,0.00117111,0.00117111
15,96.2042,2.06285,1.83829,1.51262,0.20061,0.25309,0.20146,0.06831,2.03685,2.13096,1.60326,0.00115882,0.00115882,0.00115882
16,101.742,2.03282,1.82117,1.49882,0.24666,0.32041,0.22847,0.08837,1.99376,1.94014,1.59528,0.00114572,0.00114572,0.00114572
17,108.105,1.99922,1.78484,1.45535,0.2242,0.25658,0.2244,0.10752,1.83665,1.97343,1.48561,0.00113183,0.00113183,0.00113183
18,114.355,1.95709,1.74905,1.41886,0.32053,0.41498,0.34209,0.16477,1.69809,1.65621,1.33119,0.00111716,0.00111716,0.00111716
19,122.127,1.90859,1.71168,1.41777,0.66876,0.3574,0.34018,0.16665,1.67667,1.73459,1.33433,0.00110175,0.00110175,0.00110175
20,127.761,1.80401,1.62093,1.36442,0.69455,0.4399,0.43743,0.23036,1.60215,1.54364,1.29524,0.00108561,0.00108561,0.00108561
21,133.949,1.80135,1.58148,1.33774,0.69312,0.41766,0.46782,0.21301,1.71723,1.5219,1.29901,0.00106877,0.00106877,0.00106877
22,139.926,1.7209,1.5598,1.32879,0.78491,0.46034,0.52461,0.31099,1.50809,1.41758,1.22638,0.00105126,0.00105126,0.00105126
23,145.225,1.69987,1.52022,1.29525,0.74908,0.46565,0.53511,0.28043,1.68897,1.47547,1.28143,0.0010331,0.0010331,0.0010331
24,151.699,1.69061,1.45952,1.2918,0.78904,0.50402,0.56032,0.3528,1.50432,1.32395,1.2019,0.00101431,0.00101431,0.00101431
25,157.89,1.66875,1.46295,1.28642,0.8066,0.48632,0.55535,0.34374,1.52343,1.30337,1.19515,0.000994942,0.000994942,0.000994942
26,164.55,1.66903,1.46327,1.27992,0.78897,0.50362,0.57602,0.34821,1.46708,1.29618,1.18215,0.000975009,0.000975009,0.000975009
27,169.99,1.65981,1.41071,1.25895,0.81992,0.48634,0.58212,0.34438,1.37666,1.25297,1.14436,0.000954546,0.000954546,0.000954546
