epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4528,1.2088,0.91261,1.05717,0.93518,0.65288,0.69616,0.53193,0.94854,0.75768,0.98229,0.0001125,0.0001125,0.0001125
2,35.757,1.17535,0.90734,1.0591,0.92292,0.64967,0.69868,0.53248,0.95687,0.75902,0.98049,0.000237409,0.000237409,0.000237409
3,39.7904,1.21681,0.93328,1.06399,0.92041,0.67005,0.70024,0.51933,0.96994,0.76683,0.97887,0.000361947,0.000361947,0.000361947
4,44.1839,1.19988,0.91406,1.05812,0.93116,0.63953,0.68966,0.51173,0.97397,0.77698,0.9857,0.000485827,0.000485827,0.000485827
5,49.5404,1.20042,0.90528,1.06,0.92162,0.65631,0.69851,0.53809,0.93284,0.74706,0.97204,0.000608767,0.000608767,0.000608767
6,53.3387,1.23419,0.91931,1.05934,0.91087,0.6538,0.69638,0.5238,0.97917,0.78159,0.98432,0.000730485,0.000730485,0.000730485
7,57.0555,1.22787,0.93957,1.06754,0.95035,0.62824,0.68876,0.49148,1.02375,0.82722,0.99158,0.000850704,0.000850704,0.000850704
8,63.6752,1.20839,0.90765,1.05805,0.94155,0.65138,0.70143,0.51496,1.02519,0.76537,0.99389,0.000969148,0.000969148,0.000969148
9,67.3852,1.19158,0.8911,1.06305,0.92791,0.66421,0.71214,0.51057,1.00262,0.77949,0.98497,0.00108555,0.00108555,0.00108555
10,71.3896,1.23306,0.89429,1.04585,0.93459,0.64208,0.71614,0.50728,1.03394,0.78785,0.99447,0.00119964,0.00119964,0.00119964
11,76.4391,1.17655,0.87139,1.02993,0.93636,0.65861,0.71596,0.52285,1.01712,0.77498,0.98619,0.0012029,0.0012029,0.0012029
12,80.7878,1.15822,0.85076,1.03293,0.92356,0.66359,0.74909,0.53007,0.9824,0.76599,0.97586,0.00119316,0.00119316,0.00119316
13,84.7934,1.20548,0.87817,1.03963,0.94532,0.64861,0.75595,0.53503,0.93726,0.72498,0.96582,0.00118256,0.00118256,0.00118256
14,90.8083,1.16285,0.83259,1.03469,0.94663,0.65262,0.75519,0.53279,1.01121,0.75867,0.97669,0.00117111,0.00117111,0.00117111
15,95.1859,1.15396,0.81837,1.0254,0.94833,0.65636,0.75917,0.55169,0.91924,0.71946,0.95767,0.00115882,0.00115882,0.00115882
16,99.0203,1.12823,0.80689,1.02221,0.96008,0.66371,0.75755,0.52828,0.97988,0.74262,0.9679,0.00114572,0.00114572,0.00114572
17,103.166,1.15369,0.81277,1.02621,0.94911,0.65079,0.7508,0.4989,1.04546,0.8199,0.98599,0.00113183,0.00113183,0.00113183
18,108.521,1.20305,0.83202,1.0345,0.93886,0.67987,0.75605,0.55043,0.93452,0.73261,0.96058,0.00111716,0.00111716,0.00111716
19,112.552,1.15238,0.82734,1.03622,0.94675,0.66605,0.7738,0.47798,1.16379,0.78404,1.01363,0.00110175,0.00110175,0.00110175
20,116.336,1.13323,0.81922,1.02494,0.86765,0.73417,0.77968,0.56865,0.88171,0.67055,0.95267,0.00108561,0.00108561,0.00108561
21,121.97,1.1657,0.82112,1.02388,0.96109,0.66752,0.77159,0.55362,0.95008,0.69625,0.96641,0.00106877,0.00106877,0.00106877
22,126.403,1.09412,0.78538,1.03024,0.83206,0.73192,0.77702,0.55252,0.95415,0.67615,0.97339,0.00105126,0.00105126,0.00105126
23,130.164,1.1087,0.77106,1.01949,0.86585,0.71779,0.77481,0.56096,0.90079,0.66587,0.95093,0.0010331,0.0010331,0.0010331
24,134.814,1.08401,0.77348,1.00939,0.93299,0.69826,0.78545,0.58668,0.87908,0.66225,0.94673,0.00101431,0.00101431,0.00101431
25,139.471,1.04386,0.77001,1.00493,0.86824,0.73716,0.78875,0.58544,0.85662,0.63155,0.9423,0.000994942,0.000994942,0.000994942
26,143.554,1.06706,0.77169,1.00749,0.93771,0.68774,0.78753,0.57684,0.86759,0.66805,0.94553,0.000975009,0.000975009,0.000975009
27,148.311,1.10988,0.79607,1.01563,0.93879,0.68437,0.79282,0.56744,0.90306,0.68965,0.94802,0.000954546,0.000954546,0.000954546
28,153.629,1.04413,0.75428,0.99863,0.87585,0.7182,0.77974,0.57922,0.85624,0.67891,0.93963,0.000933584,0.000933584,0.000933584
29,157.56,1.05183,0.73809,0.99476,0.8948,0.72136,0.79073,0.57625,0.87999,0.63216,0.94719,0.000912157,0.000912157,0.000912157
30,161.404,1.05982,0.75668,0.99525,0.90635,0.71669,0.79191,0.58173,0.87223,0.63313,0.94777,0.000890296,0.000890296,0.000890296
31,166.694,1.04182,0.73371,1.00029,0.8833,0.73201,0.78961,0.59247,0.82653,0.61587,0.93582,0.000868035,0.000868035,0.000868035
32,170.482,1.00182,0.70938,0.99146,0.93108,0.7319,0.79137,0.58509,0.86704,0.60033,0.9425,0.00084541,0.00084541,0.00084541
33,174.274,1.03479,0.74551,0.98328,0.87573,0.72694,0.79604,0.58628,0.85554,0.63906,0.93997,0.000822454,0.000822454,0.000822454
34,179.013,1.04334,0.75009,1.00769,0.83259,0.74509,0.78824,0.58028,0.95814,0.62744,0.9591,0.000799204,0.000799204,0.000799204
35,184.272,0.99456,0.69777,0.98158,0.87919,0.72806,0.79261,0.60005,0.81424,0.61527,0.93182,0.000775694,0.000775694,0.000775694
36,188.171,1.01591,0.70837,0.98674,0.88673,0.74746,0.80694,0.60872,0.82729,0.59498,0.9334,0.000751962,0.000751962,0.000751962
37,192.897,1.03747,0.72284,0.99393,0.89845,0.7328,0.80187,0.59115,0.81917,0.65364,0.93199,0.000728044,0.000728044,0.000728044
38,197.975,0.98725,0.70344,0.98085,0.89314,0.77274,0.81345,0.60536,0.83612,0.59442,0.933,0.000703976,0.000703976,0.000703976
39,202.023,0.99945,0.7084,0.98219,0.8875,0.77865,0.8139,0.61144,0.81496,0.58763,0.92939,0.000679797,0.000679797,0.000679797
40,206.724,0.99828,0.69626,0.97685,0.84241,0.74881,0.80124,0.58045,0.88832,0.70641,0.94538,0.000655542,0.000655542,0.000655542
41,211.653,0.9725,0.68343,0.96703,0.81142,0.75379,0.78554,0.57415,0.86393,0.72434,0.93572,0.00063125,0.00063125,0.00063125
42,216.202,0.99354,0.69515,0.97958,0.86797,0.76346,0.81817,0.60918,0.80045,0.59122,0.92696,0.000606958,0.000606958,0.000606958
43,220.043,0.96539,0.67325,0.96236,0.84618,0.77757,0.83211,0.61499,0.86044,0.58552,0.93536,0.000582703,0.000582703,0.000582703
44,225.934,0.97254,0.67142,0.96066,0.93197,0.75953,0.82299,0.61381,0.80497,0.56148,0.92151,0.000558524,0.000558524,0.000558524
45,229.811,0.98843,0.68175,0.97208,0.9517,0.75727,0.8134,0.6152,0.81597,0.56619,0.92308,0.000534456,0.000534456,0.000534456
46,234.355,0.9405,0.6579,0.96575,0.95186,0.76004,0.81739,0.62285,0.79168,0.55126,0.92117,0.000510538,0.000510538,0.000510538
47,239.733,0.93143,0.6554,0.95615,0.90985,0.78757,0.83191,0.63212,0.76036,0.5428,0.91475,0.000486806,0.000486806,0.000486806
48,244.095,0.93113,0.65344,0.96281,0.9277,0.76563,0.831,0.61598,0.81215,0.5645,0.92347,0.000463296,0.000463296,0.000463296
49,248.031,0.95472,0.66184,0.97299,0.8993,0.75539,0.81922,0.61642,0.7867,0.60437,0.91829,0.000440046,0.000440046,0.000440046
50,253.556,0.94197,0.67008,0.96917,0.90792,0.76319,0.82672,0.62886,0.7716,0.55444,0.9168,0.00041709,0.00041709,0.00041709
51,258.246,0.92712,0.65691,0.96441,0.87148,0.79523,0.83668,0.64081,0.75106,0.5388,0.91315,0.000394465,0.000394465,0.000394465
52,261.997,0.91697,0.64053,0.9571,0.86691,0.8065,0.83723,0.6391,0.76715,0.54151,0.91653,0.000372204,0.000372204,0.000372204
53,266.227,0.91421,0.64501,0.95587,0.85593,0.80369,0.83302,0.63561,0.76834,0.54638,0.91481,0.000350343,0.000350343,0.000350343
54,272.128,0.9081,0.63237,0.94826,0.87832,0.80043,0.83449,0.64019,0.77622,0.5474,0.91424,0.000328916,0.000328916,0.000328916
55,276.076,0.91135,0.6356,0.96291,0.89327,0.79688,0.83706,0.64669,0.74676,0.52906,0.91081,0.000307954,0.000307954,0.000307954
56,280.061,0.8906,0.62525,0.94668,0.90566,0.79314,0.83712,0.652,0.73726,0.52412,0.9083,0.000287491,0.000287491,0.000287491
57,285.727,0.89951,0.62341,0.94488,0.90009,0.79123,0.83564,0.63539,0.77326,0.52684,0.91278,0.000267558,0.000267558,0.000267558
58,290.207,0.93584,0.64693,0.94773,0.89464,0.79468,0.83716,0.64851,0.74941,0.52795,0.90985,0.000248186,0.000248186,0.000248186
59,293.897,0.90754,0.63764,0.9627,0.88367,0.79807,0.84116,0.64665,0.74785,0.52728,0.91106,0.000229404,0.000229404,0.000229404
60,299.754,0.90705,0.6337,0.94961,0.92045,0.80081,0.84153,0.64163,0.78761,0.52512,0.91706,0.000211242,0.000211242,0.000211242
61,303.415,0.95518,0.65489,0.96012,0.91331,0.80158,0.84116,0.64927,0.74357,0.51294,0.90925,0.000193728,0.000193728,0.000193728
62,307.846,0.90834,0.62863,0.94963,0.91749,0.79834,0.84168,0.65487,0.73307,0.51683,0.90655,0.000176888,0.000176888,0.000176888
