epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.182,0.71978,0.87985,0.88221,0.86722,0.90417,0.92738,0.71069,0.58733,0.47109,0.83811,0.000411932,0.000411932,0.000411932
2,181.977,0.63595,0.41913,0.84989,0.90317,0.89895,0.90985,0.70159,0.67847,0.47281,0.85447,0.000820395,0.000820395,0.000820395
3,260.81,0.6364,0.41373,0.84948,0.92805,0.93961,0.96848,0.75809,0.58267,0.40114,0.83283,0.00122061,0.00122061,0.00122061
4,342.181,0.59933,0.39364,0.84052,0.96129,0.95319,0.97356,0.78113,0.53153,0.40752,0.82898,0.00121287,0.00121287,0.00121287
5,423.312,0.60106,0.38088,0.84036,0.96948,0.9597,0.97958,0.79027,0.54076,0.32093,0.82614,0.0012005,0.0012005,0.0012005
6,505.149,0.553,0.34956,0.83263,0.96675,0.96394,0.97924,0.81555,0.47695,0.32451,0.81591,0.00118812,0.00118812,0.00118812
7,586.528,0.53739,0.34609,0.82754,0.74344,0.81117,0.76758,0.62261,0.50862,1.13312,0.8228,0.00117575,0.00117575,0.00117575
8,663.221,0.53807,0.33668,0.82956,0.98653,0.97047,0.98415,0.81513,0.46916,0.2879,0.81703,0.00116337,0.00116337,0.00116337
9,740.381,0.51089,0.32152,0.82355,0.98671,0.97521,0.98645,0.82664,0.45444,0.28613,0.81288,0.001151,0.001151,0.001151
10,821.325,0.5245,0.32818,0.82462,0.96828,0.9644,0.98257,0.81139,0.45686,0.28318,0.81052,0.00113863,0.00113863,0.00113863
11,899.112,0.48734,0.30548,0.82075,0.98424,0.97855,0.98718,0.84124,0.4503,0.27084,0.81226,0.00112625,0.00112625,0.00112625
12,980.476,0.50082,0.30506,0.81824,0.98656,0.97203,0.98518,0.84201,0.43689,0.26582,0.80751,0.00111388,0.00111388,0.00111388
13,1062.21,0.4762,0.29204,0.81455,0.98834,0.98438,0.98997,0.85325,0.43125,0.26394,0.80587,0.0011015,0.0011015,0.0011015
14,1143.69,0.45862,0.28603,0.81256,0.99108,0.97347,0.98781,0.85327,0.42146,0.26229,0.80538,0.00108913,0.00108913,0.00108913
15,1225.76,0.47535,0.29127,0.81363,0.98446,0.9819,0.98785,0.84558,0.41923,0.25326,0.80469,0.00107675,0.00107675,0.00107675
16,1303.69,0.45918,0.28253,0.81183,0.98853,0.97872,0.98921,0.84586,0.43079,0.2517,0.80515,0.00106437,0.00106437,0.00106437
17,1382.11,0.45635,0.27909,0.81188,0.99022,0.96304,0.98761,0.8493,0.42385,0.24912,0.80382,0.001052,0.001052,0.001052
18,1458.97,0.44191,0.27564,0.80928,0.9905,0.98001,0.98923,0.8537,0.40745,0.24585,0.80432,0.00103962,0.00103962,0.00103962
19,1541.57,0.44395,0.27328,0.80953,0.9887,0.97952,0.99071,0.86062,0.41478,0.2499,0.80433,0.00102725,0.00102725,0.00102725
20,1623.5,0.45349,0.27493,0.81061,0.98945,0.97587,0.99037,0.85597,0.4112,0.23895,0.80364,0.00101488,0.00101488,0.00101488
21,1701.12,0.4332,0.26362,0.80651,0.98912,0.98108,0.99172,0.86098,0.40131,0.24133,0.80269,0.0010025,0.0010025,0.0010025
22,1782.63,0.43413,0.26326,0.80674,0.98776,0.98376,0.99079,0.87503,0.38825,0.22569,0.80192,0.000990125,0.000990125,0.000990125
23,1862.72,0.4239,0.26067,0.80476,0.99074,0.98396,0.99049,0.87134,0.39538,0.23923,0.79994,0.00097775,0.00097775,0.00097775
24,1940.41,0.42536,0.25675,0.80501,0.9945,0.98365,0.99145,0.87792,0.38729,0.22183,0.80103,0.000965375,0.000965375,0.000965375
25,2021.01,0.41806,0.25183,0.80328,0.99291,0.98627,0.99274,0.87353,0.38743,0.22298,0.79753,0.000953,0.000953,0.000953
26,2098.74,0.4071,0.24984,0.80207,0.98511,0.98356,0.99246,0.87203,0.38054,0.21858,0.7973,0.000940625,0.000940625,0.000940625
27,2176.49,0.41432,0.24997,0.80232,0.99579,0.98659,0.99132,0.88186,0.37405,0.21711,0.79647,0.00092825,0.00092825,0.00092825
28,2257.59,0.40335,0.24578,0.80056,0.99299,0.98385,0.99324,0.8797,0.36674,0.21386,0.79494,0.000915875,0.000915875,0.000915875
29,2337.05,0.40892,0.24921,0.79959,0.99085,0.98262,0.99177,0.87831,0.37969,0.22252,0.79726,0.0009035,0.0009035,0.0009035
30,2414.42,0.40344,0.24484,0.8011,0.99345,0.98312,0.99311,0.87254,0.37124,0.2143,0.79814,0.000891125,0.000891125,0.000891125
31,2493.02,0.38691,0.23789,0.79874,0.99144,0.98718,0.99319,0.88181,0.37841,0.2158,0.79609,0.00087875,0.00087875,0.00087875
32,2570.74,0.40061,0.24514,0.80157,0.99334,0.98762,0.99206,0.87644,0.35931,0.21994,0.79513,0.000866375,0.000866375,0.000866375
