epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3351,1.043,2.6227,1.01491,0.8455,0.55993,0.6255,0.48051,1.00842,2.96237,1.09034,0.000175,0.000175,0.000175
2,58.6376,0.79472,0.73051,0.92268,0.83032,0.69505,0.77772,0.58764,0.94556,1.11341,1.04335,0.000358911,0.000358911,0.000358911
3,78.6856,0.84427,0.66999,0.90533,0.9011,0.65336,0.72337,0.52449,1.03799,1.076,1.07403,0.00053911,0.00053911,0.00053911
4,97.5368,0.83278,0.63478,0.91478,0.75831,0.61029,0.76188,0.54236,0.95919,1.41085,1.03946,0.000715596,0.000715596,0.000715596
5,113.937,0.84801,0.60763,0.91806,0.59335,0.68889,0.74145,0.50826,0.99509,1.98582,1.01456,0.00088837,0.00088837,0.00088837
6,135.089,0.82756,0.5602,0.91299,0.66444,0.71515,0.78133,0.55634,0.90564,2.07527,0.99707,0.00105743,0.00105743,0.00105743
7,153.349,0.84976,0.56218,0.91063,0.88811,0.84584,0.9184,0.6652,0.92387,0.94994,0.99964,0.00117575,0.00117575,0.00117575
8,174.884,0.77204,0.56185,0.89764,0.82996,0.79051,0.86708,0.64068,0.83878,1.36189,0.98238,0.00116337,0.00116337,0.00116337
9,192.611,0.74727,0.51425,0.88678,0.8052,0.66691,0.81117,0.59197,0.83539,3.48297,1.00935,0.001151,0.001151,0.001151
10,208.971,0.71123,0.51524,0.88167,0.63367,0.75257,0.8459,0.63976,0.82647,1.90543,0.97878,0.00113863,0.00113863,0.00113863
11,227.59,0.70487,0.47602,0.87166,0.77036,0.88854,0.89373,0.68556,0.74704,1.3275,0.9363,0.00112625,0.00112625,0.00112625
12,247.282,0.71584,0.47793,0.87808,0.90348,0.90617,0.94408,0.70988,0.74239,0.55712,0.92854,0.00111388,0.00111388,0.00111388
13,266.881,0.71959,0.47415,0.88026,0.89903,0.89536,0.95024,0.74334,0.70599,0.63123,0.91301,0.0011015,0.0011015,0.0011015
14,290.622,0.69752,0.49672,0.8748,0.83123,0.89395,0.93697,0.71921,0.75476,0.68221,0.91886,0.00108913,0.00108913,0.00108913
15,308.168,0.68186,0.48303,0.87659,0.83775,0.85392,0.91639,0.70158,0.75108,1.12447,0.92238,0.00107675,0.00107675,0.00107675
16,326.247,0.67793,0.45002,0.86903,0.91613,0.95458,0.96098,0.77147,0.70099,0.66083,0.91385,0.00106437,0.00106437,0.00106437
17,342.113,0.68004,0.4317,0.86532,0.8367,0.88029,0.9441,0.7712,0.69118,0.87304,0.9188,0.001052,0.001052,0.001052
18,359.513,0.64698,0.43488,0.86645,0.9168,0.88721,0.96375,0.76855,0.70453,0.67673,0.92416,0.00103962,0.00103962,0.00103962
